module_Name,module_nrTestsStarted,module_startTimestamp,Patch,Release,Client,Server
Admitting doctor,22,15.12.2016 16:55:53,443071,3.12,MPAQSEXECDESK01,MPAQSSNSEXEC1
Appointment,68,15.12.2016 16:55:18,443071,3.12,MPAQSDEVDESK01,MPAQSSNSEXEC1
Basics,88,15.12.2016 16:55:18,443071,3.12,MPAQSDEVDESK01,MPAQSSNSEXEC1
Bed management,184,15.12.2016 16:55:18,443071,3.12,MPAQSDEVDESK01,MPAQSSNSEXEC1
Bed reservation,190,15.12.2016 16:55:18,443071,3.12,MPAQSDEVDESK01,MPAQSSNSEXEC1
CDR,74,15.12.2016 16:55:53,443071,3.12,MPAQSEXECDESK01,MPAQSSNSEXEC1
Customizing Tools,227,15.12.2016 16:55:18,443071,3.12,MPAQSDEVDESK01,MPAQSSNSEXEC1
Customizing Transport,387,15.12.2016 16:55:27,443071,3.12,MPAQSDEVDESK02,MPAQSSNSEXEC1
Diagnoses Procedure,131,15.12.2016 16:55:53,443071,3.12,MPAQSEXECDESK01,MPAQSSNSEXEC1
Document,248,15.12.2016 16:55:27,443071,3.12,MPAQSDEVDESK02,MPAQSSNSEXEC1
External System Integration,272,15.12.2016 16:55:18,443071,3.12,MPAQSDEVDESK01,MPAQSSNSEXEC1
HL7,270,15.12.2016 16:55:53,443071,3.12,MPAQSEXECDESK01,MPAQSSNSEXEC1
Label and Formular Printing,139,15.12.2016 16:55:53,443071,3.12,MPAQSEXECDESK01,MPAQSSNSEXEC1
Menu ordering,165,15.12.2016 16:55:53,443071,3.12,MPAQSEXECDESK01,MPAQSSNSEXEC1
Order,362,15.12.2016 16:55:27,443071,3.12,MPAQSDEVDESK02,MPAQSSNSEXEC1
Patient Administration,252,15.12.2016 16:55:53,443071,3.12,MPAQSEXECDESK01,MPAQSSNSEXEC1
Reporting,300,15.12.2016 16:55:41,443071,3.12,MPAQSEXECDESK02,MPAQSSNSEXEC1
Services,380,15.12.2016 16:55:27,443071,3.12,MPAQSDEVDESK02,MPAQSSNSEXEC1
Session Handling,60,15.12.2016 16:55:41,443071,3.12,MPAQSEXECDESK02,MPAQSSNSEXEC1
Surgery Planning and Documentation,111,15.12.2016 16:55:41,443071,3.12,MPAQSEXECDESK02,MPAQSSNSEXEC1
Workflow,201,15.12.2016 16:55:41,443071,3.12,MPAQSEXECDESK02,MPAQSSNSEXEC1
Wound Management,289,15.12.2016 16:55:41,443071,3.12,MPAQSEXECDESK02,MPAQSSNSEXEC1
