TestCaseID,testCase_Name,testCase_State,testCase_startTimestamp,$testCase_stopTimestamp,module_Name,mpa_Patch,mpa_Release,testEnv_Client,testEnv_Server
1,Progress Bar,finished,15.12.2016 21:40:56,15.12.2016 21:44:17,Session Handling,443071,3.12,MPAQSEXECDESK02,MPAQSSNSEXEC1
10000,Create a new text module type,finished,15.12.2016 17:10:28,15.12.2016 17:11:04,Document,443071,3.12,MPAQSDEVDESK02,MPAQSSNSEXEC1
10001,Create a new template type,finished,15.12.2016 17:15:10,15.12.2016 17:15:42,Document,443071,3.12,MPAQSDEVDESK02,MPAQSSNSEXEC1
10003,Generating standard-view for a ward,finished,15.12.2016 20:55:01,15.12.2016 21:01:14,Bed management,443071,3.12,MPAQSDEVDESK01,MPAQSSNSEXEC1
10005,Generating extension-view for a ward, which already has a standard-view,finished,15.12.2016 20:47:20,15.12.2016 20:54:56,Bed management,443071,3.12,MPAQSDEVDESK01,MPAQSSNSEXEC1
10008,Dynamical generation of ward-views in bedmanagement-workarea,finished,15.12.2016 21:30:58,15.12.2016 21:35:55,Bed management,443071,3.12,MPAQSDEVDESK01,MPAQSSNSEXEC1
10027,Edit a reservation,finished,16.12.2016 00:18:09,16.12.2016 00:19:48,Bed reservation,443071,3.12,MPAQSDEVDESK01,MPAQSSNSEXEC1
10030,Edit a reservation and enter data to create a reservation which overlaps with another one,finished,16.12.2016 00:19:52,16.12.2016 00:21:47,Bed reservation,443071,3.12,MPAQSDEVDESK01,MPAQSSNSEXEC1
10031,Edit a reservation and enter data to create a reservation, which overlaps with an existing stay,finished,16.12.2016 00:21:53,16.12.2016 00:23:06,Bed reservation,443071,3.12,MPAQSDEVDESK01,MPAQSSNSEXEC1
10034,Delete a reservation,finished,16.12.2016 00:23:10,16.12.2016 00:24:11,Bed reservation,443071,3.12,MPAQSDEVDESK01,MPAQSSNSEXEC1
