module_Name,module_nrTestsStarted,module_startTimestamp,Patch,Release,Client,Server
Admitting doctor,22,20.04.2017 17:27:43,446331,3.14.3,MPAQSEXECDESK02,MPAQSSNSEXEC2
Appointment,74,20.04.2017 17:27:57,446331,3.14.3,MPAQSDEVDESK02,MPAQSSNSEXEC2
Basics,30,20.04.2017 17:28:04,446331,3.14.3,MPAQSDEVDESK01,MPAQSSNSEXEC2
Bed management,126,20.04.2017 17:28:04,446331,3.14.3,MPAQSDEVDESK01,MPAQSSNSEXEC2
Bed reservation,132,20.04.2017 17:28:04,446331,3.14.3,MPAQSDEVDESK01,MPAQSSNSEXEC2
CDR,419,20.04.2017 17:28:04,446331,3.14.3,MPAQSDEVDESK01,MPAQSSNSEXEC2
Customizing Tools,37,20.04.2017 17:34:15,446331,3.14.3,MPAQSDEVDESK03,MPAQSSNSEXEC2
Customizing Transport,414,20.04.2017 17:28:04,446331,3.14.3,MPAQSDEVDESK01,MPAQSSNSEXEC2
Diagnoses Procedure,156,20.04.2017 17:27:57,446331,3.14.3,MPAQSDEVDESK02,MPAQSSNSEXEC2
Document,281,20.04.2017 17:27:43,446331,3.14.3,MPAQSEXECDESK02,MPAQSSNSEXEC2
External System Integration,302,20.04.2017 17:27:43,446331,3.14.3,MPAQSEXECDESK02,MPAQSSNSEXEC2
HL7,55,20.04.2017 17:34:15,446331,3.14.3,MPAQSDEVDESK03,MPAQSSNSEXEC2
Label and Formular Printing,64,20.04.2017 17:34:15,446331,3.14.3,MPAQSDEVDESK03,MPAQSSNSEXEC2
Menu ordering,164,20.04.2017 17:28:04,446331,3.14.3,MPAQSDEVDESK01,MPAQSSNSEXEC2
Order,277,20.04.2017 17:28:04,446331,3.14.3,MPAQSDEVDESK01,MPAQSSNSEXEC2
Patient Administration,250,20.04.2017 17:27:57,446331,3.14.3,MPAQSDEVDESK02,MPAQSSNSEXEC2
Reporting,284,20.04.2017 17:26:56,446331,3.14.3,MPAQSEXECDESK01,MPAQSSNSEXEC2
Services,222,20.04.2017 17:26:56,446331,3.14.3,MPAQSEXECDESK01,MPAQSSNSEXEC2
Session Handling,123,20.04.2017 17:34:15,446331,3.14.3,MPAQSDEVDESK03,MPAQSSNSEXEC2
Surgery Planning and Documentation,273,20.04.2017 17:26:56,446331,3.14.3,MPAQSEXECDESK01,MPAQSSNSEXEC2
Workflow,407,20.04.2017 17:28:04,446331,3.14.3,MPAQSDEVDESK01,MPAQSSNSEXEC2
Wound Management,211,20.04.2017 17:34:15,446331,3.14.3,MPAQSDEVDESK03,MPAQSSNSEXEC2
