TestCaseID,testCase_Name,testCase_State,testCase_startTimestamp,$testCase_stopTimestamp,module_Name,mpa_Patch,mpa_Release,testEnv_Client,testEnv_Server
1,Progress Bar,finished,21.04.2017 04:34:24,21.04.2017 04:37:12,Session Handling,446331,3.14.3,MPAQSDEVDESK03,MPAQSSNSEXEC2
10000,Create a new text module type,finished,20.04.2017 18:15:22,20.04.2017 18:16:00,Document,446331,3.14.3,MPAQSEXECDESK02,MPAQSSNSEXEC2
10001,Create a new template type,finished,20.04.2017 18:20:25,20.04.2017 18:21:00,Document,446331,3.14.3,MPAQSEXECDESK02,MPAQSSNSEXEC2
10003,Generating standard-view for a ward,finished,20.04.2017 18:46:27,20.04.2017 18:52:10,Bed management,446331,3.14.3,MPAQSDEVDESK01,MPAQSSNSEXEC2
10005,Generating extension-view for a ward, which already has a standard-view,finished,20.04.2017 18:39:35,20.04.2017 18:46:23,Bed management,446331,3.14.3,MPAQSDEVDESK01,MPAQSSNSEXEC2
10008,Dynamical generation of ward-views in bedmanagement-workarea,finished,20.04.2017 19:20:19,20.04.2017 19:25:08,Bed management,446331,3.14.3,MPAQSDEVDESK01,MPAQSSNSEXEC2
10027,Edit a reservation,finished,20.04.2017 22:01:55,20.04.2017 22:03:32,Bed reservation,446331,3.14.3,MPAQSDEVDESK01,MPAQSSNSEXEC2
10030,Edit a reservation and enter data to create a reservation which overlaps with another one,finished,20.04.2017 22:03:35,20.04.2017 22:05:23,Bed reservation,446331,3.14.3,MPAQSDEVDESK01,MPAQSSNSEXEC2
10031,Edit a reservation and enter data to create a reservation, which overlaps with an existing stay,finished,20.04.2017 22:05:26,20.04.2017 22:06:34,Bed reservation,446331,3.14.3,MPAQSDEVDESK01,MPAQSSNSEXEC2
10034,Delete a reservation,finished,20.04.2017 22:06:37,20.04.2017 22:07:38,Bed reservation,446331,3.14.3,MPAQSDEVDESK01,MPAQSSNSEXEC2
10053,Create a new document type group,finished,20.04.2017 18:13:32,20.04.2017 18:14:23,Document,446331,3.14.3,MPAQSEXECDESK02,MPAQSSNSEXEC2
10061,Create a new document subject,finished,20.04.2017 18:17:42,20.04.2017 18:18:04,Document,446331,3.14.3,MPAQSEXECDESK02,MPAQSSNSEXEC2
10082,Back to todo list - new navigation bar,finished,21.04.2017 06:27:43,21.04.2017 06:29:00,Workflow,446331,3.14.3,MPAQSDEVDESK01,MPAQSSNSEXEC2
10083,Back to previous workarea,finished,21.04.2017 06:29:53,21.04.2017 06:31:22,Workflow,446331,3.14.3,MPAQSDEVDESK01,MPAQSSNSEXEC2
10084,Back to todo list and then back to previous workarea,finished,21.04.2017 06:31:25,21.04.2017 06:33:12,Workflow,446331,3.14.3,MPAQSDEVDESK01,MPAQSSNSEXEC2
10127,Workflow Wizard - order requested (no predefinition of form),finished,21.04.2017 04:51:00,21.04.2017 04:52:10,Workflow,446331,3.14.3,MPAQSDEVDESK01,MPAQSSNSEXEC2
10154,Ordering at process start - form selection,finished,21.04.2017 04:07:33,21.04.2017 04:08:56,Order,446331,3.14.3,MPAQSDEVDESK01,MPAQSSNSEXEC2
10162,Ordering at process start - form selection and order,finished,21.04.2017 04:09:00,21.04.2017 04:10:32,Order,446331,3.14.3,MPAQSDEVDESK01,MPAQSSNSEXEC2
10163,Ordering at process start - order without form selection,finished,21.04.2017 04:12:20,21.04.2017 04:13:39,Order,446331,3.14.3,MPAQSDEVDESK01,MPAQSSNSEXEC2
10164,Ordering at process start - order standardized (default profile),finished,21.04.2017 04:28:16,21.04.2017 04:29:34,Order,446331,3.14.3,MPAQSDEVDESK01,MPAQSSNSEXEC2
10165,Ordering at process start - order profile selection,finished,21.04.2017 04:13:43,21.04.2017 04:15:06,Order,446331,3.14.3,MPAQSDEVDESK01,MPAQSSNSEXEC2
10166,Order propagation in workflow - main+subprocess,finished,21.04.2017 04:15:09,21.04.2017 04:16:47,Order,446331,3.14.3,MPAQSDEVDESK01,MPAQSSNSEXEC2
10167,Order propagation in workflow - process programs,finished,21.04.2017 04:16:51,21.04.2017 04:19:17,Order,446331,3.14.3,MPAQSDEVDESK01,MPAQSSNSEXEC2
10168,Order propagation in workflow - new process by CFT,finished,21.04.2017 04:31:09,21.04.2017 04:32:49,Order,446331,3.14.3,MPAQSDEVDESK01,MPAQSSNSEXEC2
10178,Ordering at process start - form change in wizard,finished,21.04.2017 04:10:35,21.04.2017 04:12:17,Order,446331,3.14.3,MPAQSDEVDESK01,MPAQSSNSEXEC2
10204,Delete an address catalog,finished,20.04.2017 18:19:18,20.04.2017 18:20:20,Document,446331,3.14.3,MPAQSEXECDESK02,MPAQSSNSEXEC2
10211,Transfer patient into previous bed (create new transfer data),finished,20.04.2017 21:00:52,20.04.2017 21:02:59,Bed management,446331,3.14.3,MPAQSDEVDESK01,MPAQSSNSEXEC2
10236,Priority - emergency,finished,21.04.2017 08:31:47,21.04.2017 08:34:30,Workflow,446331,3.14.3,MPAQSDEVDESK01,MPAQSSNSEXEC2
10255,Start Workflow - no resource (workarea opening),finished,21.04.2017 04:53:16,21.04.2017 04:55:01,Workflow,446331,3.14.3,MPAQSDEVDESK01,MPAQSSNSEXEC2
10258,Open a folder on the treebrowser (click on symbol),finished,20.04.2017 22:35:48,20.04.2017 22:37:13,Document,446331,3.14.3,MPAQSEXECDESK02,MPAQSSNSEXEC2
10259,Open a folder on the treebrowser (double click),finished,20.04.2017 22:34:14,20.04.2017 22:35:42,Document,446331,3.14.3,MPAQSEXECDESK02,MPAQSSNSEXEC2
10260,Subprocess - two stops (2), subprocess different resource as main process,finished,21.04.2017 08:09:56,21.04.2017 08:12:19,Workflow,446331,3.14.3,MPAQSDEVDESK01,MPAQSSNSEXEC2
10264,Start check - indicate previous process start (discharged),finished,21.04.2017 04:47:50,21.04.2017 04:49:32,Workflow,446331,3.14.3,MPAQSDEVDESK01,MPAQSSNSEXEC2
10268,Process program - partner system (process selection first),finished,21.04.2017 07:21:38,21.04.2017 07:23:21,Workflow,446331,3.14.3,MPAQSDEVDESK01,MPAQSSNSEXEC2
10277,Show the content of a document with a dictation,finished,20.04.2017 20:29:11,20.04.2017 20:30:36,Document,446331,3.14.3,MPAQSEXECDESK02,MPAQSSNSEXEC2
10279,Symbols - process symbols (refresh after change, multiple clients),finished,21.04.2017 05:32:41,21.04.2017 05:37:12,Workflow,446331,3.14.3,MPAQSDEVDESK01,MPAQSSNSEXEC2
10285,Process program - autostart process (patient not necessary),finished,21.04.2017 07:38:39,21.04.2017 07:40:26,Workflow,446331,3.14.3,MPAQSDEVDESK01,MPAQSSNSEXEC2
10288,Subprocess - resource 'jeder',finished,21.04.2017 07:49:31,21.04.2017 07:51:16,Workflow,446331,3.14.3,MPAQSDEVDESK01,MPAQSSNSEXEC2
