TestCaseID,testCase_Name,testCase_State,testCase_startTimestamp,$testCase_stopTimestamp,module_Name,mpa_Patch,mpa_Release,testEnv_Client,testEnv_Server
1,Progress Bar,finished,18.03.2017 18:27:02,18.03.2017 18:29:49,Session Handling,445182,3.14,MPAQSDEVDESK03,MPAQSSNSDEV01
10000,Create a new text module type,finished,18.03.2017 08:24:11,18.03.2017 08:24:45,Document,445182,3.14,MPAQSEXECDESK01,MPAQSSNSDEV01
10001,Create a new template type,finished,18.03.2017 08:28:42,18.03.2017 08:29:15,Document,445182,3.14,MPAQSEXECDESK01,MPAQSSNSDEV01
10003,Generating standard-view for a ward,finished,18.03.2017 09:10:58,18.03.2017 09:16:53,Bed management,445182,3.14,MPAQSEXECDESK02,MPAQSSNSDEV01
10005,Generating extension-view for a ward, which already has a standard-view,finished,18.03.2017 09:03:35,18.03.2017 09:10:50,Bed management,445182,3.14,MPAQSEXECDESK02,MPAQSSNSDEV01
10008,Dynamical generation of ward-views in bedmanagement-workarea,finished,18.03.2017 09:46:46,18.03.2017 09:51:53,Bed management,445182,3.14,MPAQSEXECDESK02,MPAQSSNSDEV01
10027,Edit a reservation,finished,18.03.2017 12:38:40,18.03.2017 12:40:19,Bed reservation,445182,3.14,MPAQSEXECDESK02,MPAQSSNSDEV01
10030,Edit a reservation and enter data to create a reservation which overlaps with another one,finished,18.03.2017 12:40:27,18.03.2017 12:42:18,Bed reservation,445182,3.14,MPAQSEXECDESK02,MPAQSSNSDEV01
10031,Edit a reservation and enter data to create a reservation, which overlaps with an existing stay,finished,18.03.2017 12:42:24,18.03.2017 12:43:34,Bed reservation,445182,3.14,MPAQSEXECDESK02,MPAQSSNSDEV01
10034,Delete a reservation,finished,18.03.2017 12:43:40,18.03.2017 12:44:42,Bed reservation,445182,3.14,MPAQSEXECDESK02,MPAQSSNSDEV01
10053,Create a new document type group,finished,18.03.2017 08:22:32,18.03.2017 08:23:20,Document,445182,3.14,MPAQSEXECDESK01,MPAQSSNSDEV01
10061,Create a new document subject,finished,18.03.2017 08:26:16,18.03.2017 08:26:36,Document,445182,3.14,MPAQSEXECDESK01,MPAQSSNSDEV01
10082,Back to todo list - new navigation bar,finished,18.03.2017 21:48:35,18.03.2017 21:49:53,Workflow,445182,3.14,MPAQSEXECDESK02,MPAQSSNSDEV01
10083,Back to previous workarea,finished,18.03.2017 21:50:53,18.03.2017 21:52:25,Workflow,445182,3.14,MPAQSEXECDESK02,MPAQSSNSDEV01
10084,Back to todo list and then back to previous workarea,finished,18.03.2017 21:52:31,18.03.2017 21:54:25,Workflow,445182,3.14,MPAQSEXECDESK02,MPAQSSNSDEV01
10127,Workflow Wizard - order requested (no predefinition of form),finished,18.03.2017 20:06:17,18.03.2017 20:07:30,Workflow,445182,3.14,MPAQSEXECDESK02,MPAQSSNSDEV01
10154,Ordering at process start - form selection,finished,18.03.2017 19:18:37,18.03.2017 19:20:07,Order,445182,3.14,MPAQSEXECDESK02,MPAQSSNSDEV01
10162,Ordering at process start - form selection and order,finished,18.03.2017 19:20:14,18.03.2017 19:21:51,Order,445182,3.14,MPAQSEXECDESK02,MPAQSSNSDEV01
10163,Ordering at process start - order without form selection,finished,18.03.2017 19:23:49,18.03.2017 19:25:12,Order,445182,3.14,MPAQSEXECDESK02,MPAQSSNSDEV01
10164,Ordering at process start - order standardized (default profile),finished,18.03.2017 19:40:52,18.03.2017 19:42:20,Order,445182,3.14,MPAQSEXECDESK02,MPAQSSNSDEV01
10165,Ordering at process start - order profile selection,finished,18.03.2017 19:25:18,18.03.2017 19:26:46,Order,445182,3.14,MPAQSEXECDESK02,MPAQSSNSDEV01
10166,Order propagation in workflow - main+subprocess,finished,18.03.2017 19:26:52,18.03.2017 19:28:33,Order,445182,3.14,MPAQSEXECDESK02,MPAQSSNSDEV01
10167,Order propagation in workflow - process programs,finished,18.03.2017 19:28:40,18.03.2017 19:31:12,Order,445182,3.14,MPAQSEXECDESK02,MPAQSSNSDEV01
10168,Order propagation in workflow - new process by CFT,finished,18.03.2017 19:44:12,18.03.2017 19:46:04,Order,445182,3.14,MPAQSEXECDESK02,MPAQSSNSDEV01
10178,Ordering at process start - form change in wizard,finished,18.03.2017 19:21:57,18.03.2017 19:23:42,Order,445182,3.14,MPAQSEXECDESK02,MPAQSSNSDEV01
10204,Delete an address catalog,finished,18.03.2017 08:27:41,18.03.2017 08:28:39,Document,445182,3.14,MPAQSEXECDESK01,MPAQSSNSDEV01
10211,Transfer patient into previous bed (create new transfer data),finished,18.03.2017 11:33:56,18.03.2017 11:36:06,Bed management,445182,3.14,MPAQSEXECDESK02,MPAQSSNSDEV01
10236,Priority - emergency,finished,18.03.2017 23:59:29,19.03.2017 00:02:17,Workflow,445182,3.14,MPAQSEXECDESK02,MPAQSSNSDEV01
10255,Start Workflow - no resource (workarea opening),finished,18.03.2017 20:08:45,18.03.2017 20:10:32,Workflow,445182,3.14,MPAQSEXECDESK02,MPAQSSNSDEV01
10258,Open a folder on the treebrowser (click on symbol),finished,18.03.2017 12:12:52,18.03.2017 12:14:08,Document,445182,3.14,MPAQSEXECDESK01,MPAQSSNSDEV01
10259,Open a folder on the treebrowser (double click),finished,18.03.2017 12:11:34,18.03.2017 12:12:49,Document,445182,3.14,MPAQSEXECDESK01,MPAQSSNSDEV01
10260,Subprocess - two stops (2), subprocess different resource as main process,finished,18.03.2017 23:36:20,18.03.2017 23:38:48,Workflow,445182,3.14,MPAQSEXECDESK02,MPAQSSNSDEV01
10264,Start check - indicate previous process start (discharged),finished,18.03.2017 20:02:49,18.03.2017 20:04:38,Workflow,445182,3.14,MPAQSEXECDESK02,MPAQSSNSDEV01
10268,Process program - partner system (process selection first),finished,18.03.2017 22:44:27,18.03.2017 22:46:16,Workflow,445182,3.14,MPAQSEXECDESK02,MPAQSSNSDEV01
10277,Show the content of a document with a dictation,finished,18.03.2017 10:21:10,18.03.2017 10:22:22,Document,445182,3.14,MPAQSEXECDESK01,MPAQSSNSDEV01
10279,Symbols - process symbols (refresh after change, multiple clients),finished,18.03.2017 20:50:57,18.03.2017 20:55:32,Workflow,445182,3.14,MPAQSEXECDESK02,MPAQSSNSDEV01
10285,Process program - autostart process (patient not necessary),finished,18.03.2017 23:02:48,18.03.2017 23:04:42,Workflow,445182,3.14,MPAQSEXECDESK02,MPAQSSNSDEV01
10288,Subprocess - resource 'jeder',finished,18.03.2017 23:14:27,18.03.2017 23:16:17,Workflow,445182,3.14,MPAQSEXECDESK02,MPAQSSNSDEV01
10289,Subprocess - resource by script,finished,18.03.2017 23:31:40,18.03.2017 23:34:08,Workflow,445182,3.14,MPAQSEXECDESK02,MPAQSSNSDEV01
10291,Subprocess - multiple execution,finished,18.03.2017 22:46:22,18.03.2017 22:49:07,Workflow,445182,3.14,MPAQSEXECDESK02,MPAQSSNSDEV01
10313,Edit a preferred date,finished,18.03.2017 17:09:32,18.03.2017 17:11:05,Order,445182,3.14,MPAQSEXECDESK02,MPAQSSNSDEV01
10324,Change an existing template,finished,18.03.2017 08:23:23,18.03.2017 08:24:07,Document,445182,3.14,MPAQSEXECDESK01,MPAQSSNSDEV01
10327,Open the workarea Patient Documents for a patient whose firstname has 18 letters,finished,18.03.2017 11:41:40,18.03.2017 11:42:22,Document,445182,3.14,MPAQSEXECDESK01,MPAQSSNSDEV01
10330,medical discharge,finished,18.03.2017 23:13:06,18.03.2017 23:15:36,Diagnoses Procedure,445182,3.14,MPAQSDEVDESK02,MPAQSSNSDEV01
10340,LKF UserRole change (gf.viewer.def.DefDefinitionDLDialog.standard),finished,18.03.2017 22:35:48,18.03.2017 22:38:36,Diagnoses Procedure,445182,3.14,MPAQSDEVDESK02,MPAQSSNSDEV01
10352,Insert an existing TC definition,finished,18.03.2017 10:07:19,18.03.2017 10:10:43,Document,445182,3.14,MPAQSEXECDESK01,MPAQSSNSDEV01
10358,Edit a text module of a write protected document,finished,18.03.2017 10:31:01,18.03.2017 10:33:47,Document,445182,3.14,MPAQSEXECDESK01,MPAQSSNSDEV01
10363,Move an appointment by drag&drop into not available area (plan),finished,18.03.2017 20:48:17,18.03.2017 20:49:42,Appointment,445182,3.14,MPAQSDEVDESK02,MPAQSSNSDEV01
10365,Move an appointment by cut&paste into not available area (plan),finished,18.03.2017 20:51:21,18.03.2017 20:53:19,Appointment,445182,3.14,MPAQSDEVDESK02,MPAQSSNSDEV01
10370,Diktat anlegen aus MCC (Meierhofer) über MPAApplication.doc,finished,19.03.2017 22:05:58,19.03.2017 22:10:53,Document,445182,3.14,MPAQSEXECDESK01,MPAQSSNSDEV01
10379,Transfer a patient via clipboard to an occupied bed,finished,18.03.2017 11:58:19,18.03.2017 11:59:54,Bed management,445182,3.14,MPAQSEXECDESK02,MPAQSSNSDEV01
10380,Transfer a patient via clipboard (no patient is in the clipboard),finished,18.03.2017 11:59:59,18.03.2017 12:01:19,Bed management,445182,3.14,MPAQSEXECDESK02,MPAQSSNSDEV01
10388,Create a new order position freetext,finished,18.03.2017 15:55:01,18.03.2017 15:55:27,Order,445182,3.14,MPAQSEXECDESK02,MPAQSSNSDEV01
10392,End a patients time off,finished,18.03.2017 12:03:04,18.03.2017 12:05:29,Bed management,445182,3.14,MPAQSEXECDESK02,MPAQSSNSDEV01
10397,Reset todo - mode 3 (different client),finished,18.03.2017 21:42:43,18.03.2017 21:48:30,Workflow,445182,3.14,MPAQSEXECDESK02,MPAQSSNSDEV01
10400,Record a note for a case,finished,18.03.2017 11:03:49,18.03.2017 11:05:09,Bed management,445182,3.14,MPAQSEXECDESK02,MPAQSSNSDEV01
10401,Record a note for a bed,finished,18.03.2017 11:06:34,18.03.2017 11:07:46,Bed management,445182,3.14,MPAQSEXECDESK02,MPAQSSNSDEV01
10403,Record a note for a ward,finished,18.03.2017 11:09:07,18.03.2017 11:10:11,Bed management,445182,3.14,MPAQSEXECDESK02,MPAQSSNSDEV01
10409,Delete a note for a patient,finished,18.03.2017 11:02:28,18.03.2017 11:03:44,Bed management,445182,3.14,MPAQSEXECDESK02,MPAQSSNSDEV01
10410,Delete a note for a case,finished,18.03.2017 11:05:14,18.03.2017 11:06:30,Bed management,445182,3.14,MPAQSEXECDESK02,MPAQSSNSDEV01
10411,Delete a note for a bed,finished,18.03.2017 11:07:51,18.03.2017 11:09:02,Bed management,445182,3.14,MPAQSEXECDESK02,MPAQSSNSDEV01
10414,Delete a note for a ward,finished,18.03.2017 11:10:16,18.03.2017 11:11:18,Bed management,445182,3.14,MPAQSEXECDESK02,MPAQSSNSDEV01
10419,Change ward,finished,18.03.2017 09:21:48,18.03.2017 09:23:39,Bed management,445182,3.14,MPAQSEXECDESK02,MPAQSSNSDEV01
10422,Show the patient information (select patient on the treebrowser),finished,18.03.2017 09:51:59,18.03.2017 09:53:58,Bed management,445182,3.14,MPAQSEXECDESK02,MPAQSSNSDEV01
10425,Show patient information (open the workarea Details Patient),finished,18.03.2017 09:34:26,18.03.2017 09:36:16,Bed management,445182,3.14,MPAQSEXECDESK02,MPAQSSNSDEV01
10445,Transfer via action button,finished,18.03.2017 10:01:09,18.03.2017 10:03:12,Bed management,445182,3.14,MPAQSEXECDESK02,MPAQSSNSDEV01
10446,Discharge patient via action button to pool,finished,18.03.2017 10:03:17,18.03.2017 10:05:01,Bed management,445182,3.14,MPAQSEXECDESK02,MPAQSSNSDEV01
10447,Add a symbol via action button,finished,18.03.2017 10:05:07,18.03.2017 10:06:54,Bed management,445182,3.14,MPAQSEXECDESK02,MPAQSSNSDEV01
10448,Add a case note via action button,finished,18.03.2017 10:06:59,18.03.2017 10:08:15,Bed management,445182,3.14,MPAQSEXECDESK02,MPAQSSNSDEV01
10449,Add a bed symbol via action button,finished,18.03.2017 10:08:20,18.03.2017 10:09:36,Bed management,445182,3.14,MPAQSEXECDESK02,MPAQSSNSDEV01
10450,Add a bed note via action button,finished,18.03.2017 10:09:41,18.03.2017 10:10:56,Bed management,445182,3.14,MPAQSEXECDESK02,MPAQSSNSDEV01
10451,Open the workarea Patient Documents via action button,finished,18.03.2017 10:11:02,18.03.2017 10:12:42,Bed management,445182,3.14,MPAQSEXECDESK02,MPAQSSNSDEV01
10452,Print work organizers via action button,finished,18.03.2017 10:12:48,18.03.2017 10:13:55,Bed management,445182,3.14,MPAQSEXECDESK02,MPAQSSNSDEV01
10453,Start the dictation process via action button,finished,18.03.2017 10:14:02,18.03.2017 10:16:52,Bed management,445182,3.14,MPAQSEXECDESK02,MPAQSSNSDEV01
10454,Open the appointment calendar via action button,finished,18.03.2017 10:16:58,18.03.2017 10:18:28,Bed management,445182,3.14,MPAQSEXECDESK02,MPAQSSNSDEV01
10455,Open the appointments overview via action button,finished,18.03.2017 10:18:35,18.03.2017 10:20:01,Bed management,445182,3.14,MPAQSEXECDESK02,MPAQSSNSDEV01
10456,Open the workarea Start Workflow via action button,finished,18.03.2017 10:20:07,18.03.2017 10:21:48,Bed management,445182,3.14,MPAQSEXECDESK02,MPAQSSNSDEV01
