module_Name,module_nrTestsStarted,module_startTimestamp,Patch,Release,Client,Server
Admitting doctor,22,29.03.2017 18:05:54,445763,4.0.3,MPAQSEXECDESK02,MPAQSSNSDEV03
Appointment,74,29.03.2017 18:06:20,445763,4.0.3,MPAQSEXECDESK01,MPAQSSNSDEV03
Basics,32,29.03.2017 18:12:52,445763,4.0.3,MPAQSDEVDESK01,MPAQSSNSDEV03
Bed management,128,29.03.2017 18:12:52,445763,4.0.3,MPAQSDEVDESK01,MPAQSSNSDEV03
Bed reservation,134,29.03.2017 18:12:52,445763,4.0.3,MPAQSDEVDESK01,MPAQSSNSDEV03
CDR,421,29.03.2017 18:12:52,445763,4.0.3,MPAQSDEVDESK01,MPAQSSNSDEV03
Customizing Tools,37,29.03.2017 18:12:45,445763,4.0.3,MPAQSDEVDESK03,MPAQSSNSDEV03
Customizing Transport,416,29.03.2017 18:12:52,445763,4.0.3,MPAQSDEVDESK01,MPAQSSNSDEV03
Diagnoses Procedure,156,29.03.2017 18:06:20,445763,4.0.3,MPAQSEXECDESK01,MPAQSSNSDEV03
Document,281,29.03.2017 18:05:54,445763,4.0.3,MPAQSEXECDESK02,MPAQSSNSDEV03
External System Integration,301,29.03.2017 18:05:54,445763,4.0.3,MPAQSEXECDESK02,MPAQSSNSDEV03
HL7,55,29.03.2017 18:12:45,445763,4.0.3,MPAQSDEVDESK03,MPAQSSNSDEV03
Label and Formular Printing,64,29.03.2017 18:12:45,445763,4.0.3,MPAQSDEVDESK03,MPAQSSNSDEV03
Menu ordering,166,29.03.2017 18:12:52,445763,4.0.3,MPAQSDEVDESK01,MPAQSSNSDEV03
Order,279,29.03.2017 18:12:52,445763,4.0.3,MPAQSDEVDESK01,MPAQSSNSDEV03
Patient Administration,250,29.03.2017 18:06:20,445763,4.0.3,MPAQSEXECDESK01,MPAQSSNSDEV03
Reporting,311,29.03.2017 18:05:54,445763,4.0.3,MPAQSEXECDESK02,MPAQSSNSDEV03
Services,222,29.03.2017 18:13:09,445763,4.0.3,MPAQSDEVDESK02,MPAQSSNSDEV03
Session Handling,123,29.03.2017 18:12:45,445763,4.0.3,MPAQSDEVDESK03,MPAQSSNSDEV03
Surgery Planning and Documentation,273,29.03.2017 18:13:09,445763,4.0.3,MPAQSDEVDESK02,MPAQSSNSDEV03
Workflow,409,29.03.2017 18:12:52,445763,4.0.3,MPAQSDEVDESK01,MPAQSSNSDEV03
Wound Management,211,29.03.2017 18:12:45,445763,4.0.3,MPAQSDEVDESK03,MPAQSSNSDEV03
