TestCaseID,testCase_Name,testCase_State,testCase_startTimestamp,$testCase_stopTimestamp,module_Name,mpa_Patch,mpa_Release,testEnv_Client,testEnv_Server
1,Progress Bar,finished,30.03.2017 05:05:15,30.03.2017 05:08:05,Session Handling,445763,4.0.3,MPAQSDEVDESK03,MPAQSSNSDEV03
10000,Create a new text module type,finished,29.03.2017 18:53:58,29.03.2017 18:54:36,Document,445763,4.0.3,MPAQSEXECDESK02,MPAQSSNSDEV03
10001,Create a new template type,finished,29.03.2017 18:59:04,29.03.2017 18:59:38,Document,445763,4.0.3,MPAQSEXECDESK02,MPAQSSNSDEV03
10003,Generating standard-view for a ward,finished,29.03.2017 20:01:09,29.03.2017 20:06:53,Bed management,445763,4.0.3,MPAQSDEVDESK01,MPAQSSNSDEV03
10005,Generating extension-view for a ward, which already has a standard-view,finished,29.03.2017 19:54:17,29.03.2017 20:01:04,Bed management,445763,4.0.3,MPAQSDEVDESK01,MPAQSSNSDEV03
10008,Dynamical generation of ward-views in bedmanagement-workarea,finished,29.03.2017 20:35:03,29.03.2017 20:39:53,Bed management,445763,4.0.3,MPAQSDEVDESK01,MPAQSSNSDEV03
10027,Edit a reservation,finished,29.03.2017 23:21:51,29.03.2017 23:23:28,Bed reservation,445763,4.0.3,MPAQSDEVDESK01,MPAQSSNSDEV03
10030,Edit a reservation and enter data to create a reservation which overlaps with another one,finished,29.03.2017 23:23:32,29.03.2017 23:25:22,Bed reservation,445763,4.0.3,MPAQSDEVDESK01,MPAQSSNSDEV03
10031,Edit a reservation and enter data to create a reservation, which overlaps with an existing stay,finished,29.03.2017 23:25:25,29.03.2017 23:26:34,Bed reservation,445763,4.0.3,MPAQSDEVDESK01,MPAQSSNSDEV03
10034,Delete a reservation,finished,29.03.2017 23:26:38,29.03.2017 23:27:39,Bed reservation,445763,4.0.3,MPAQSDEVDESK01,MPAQSSNSDEV03
10053,Create a new document type group,finished,29.03.2017 18:52:07,29.03.2017 18:52:58,Document,445763,4.0.3,MPAQSEXECDESK02,MPAQSSNSDEV03
10061,Create a new document subject,finished,29.03.2017 18:56:19,29.03.2017 18:56:42,Document,445763,4.0.3,MPAQSEXECDESK02,MPAQSSNSDEV03
10082,Back to todo list - new navigation bar,finished,30.03.2017 07:43:49,30.03.2017 07:45:02,Workflow,445763,4.0.3,MPAQSDEVDESK01,MPAQSSNSDEV03
10083,Back to previous workarea,finished,30.03.2017 07:45:56,30.03.2017 07:47:23,Workflow,445763,4.0.3,MPAQSDEVDESK01,MPAQSSNSDEV03
10084,Back to todo list and then back to previous workarea,finished,30.03.2017 07:47:26,30.03.2017 07:49:11,Workflow,445763,4.0.3,MPAQSDEVDESK01,MPAQSSNSDEV03
10127,Workflow Wizard - order requested (no predefinition of form),finished,30.03.2017 06:07:50,30.03.2017 06:08:59,Workflow,445763,4.0.3,MPAQSDEVDESK01,MPAQSSNSDEV03
10154,Ordering at process start - form selection,finished,30.03.2017 05:25:00,30.03.2017 05:26:22,Order,445763,4.0.3,MPAQSDEVDESK01,MPAQSSNSDEV03
10162,Ordering at process start - form selection and order,finished,30.03.2017 05:26:26,30.03.2017 05:27:56,Order,445763,4.0.3,MPAQSDEVDESK01,MPAQSSNSDEV03
10163,Ordering at process start - order without form selection,finished,30.03.2017 05:29:44,30.03.2017 05:31:01,Order,445763,4.0.3,MPAQSDEVDESK01,MPAQSSNSDEV03
10164,Ordering at process start - order standardized (default profile),finished,30.03.2017 05:45:29,30.03.2017 05:46:47,Order,445763,4.0.3,MPAQSDEVDESK01,MPAQSSNSDEV03
10165,Ordering at process start - order profile selection,finished,30.03.2017 05:31:05,30.03.2017 05:32:28,Order,445763,4.0.3,MPAQSDEVDESK01,MPAQSSNSDEV03
10166,Order propagation in workflow - main+subprocess,finished,30.03.2017 05:32:32,30.03.2017 05:34:09,Order,445763,4.0.3,MPAQSDEVDESK01,MPAQSSNSDEV03
10167,Order propagation in workflow - process programs,finished,30.03.2017 05:34:13,30.03.2017 05:36:38,Order,445763,4.0.3,MPAQSDEVDESK01,MPAQSSNSDEV03
10168,Order propagation in workflow - new process by CFT,finished,30.03.2017 05:48:22,30.03.2017 05:50:00,Order,445763,4.0.3,MPAQSDEVDESK01,MPAQSSNSDEV03
10178,Ordering at process start - form change in wizard,finished,30.03.2017 05:28:00,30.03.2017 05:29:40,Order,445763,4.0.3,MPAQSDEVDESK01,MPAQSSNSDEV03
10204,Delete an address catalog,finished,29.03.2017 18:57:56,29.03.2017 18:58:59,Document,445763,4.0.3,MPAQSEXECDESK02,MPAQSSNSDEV03
10211,Transfer patient into previous bed (create new transfer data),finished,29.03.2017 22:15:52,29.03.2017 22:17:58,Bed management,445763,4.0.3,MPAQSDEVDESK01,MPAQSSNSDEV03
10236,Priority - emergency,finished,30.03.2017 09:46:24,30.03.2017 09:49:05,Workflow,445763,4.0.3,MPAQSDEVDESK01,MPAQSSNSDEV03
10255,Start Workflow - no resource (workarea opening),finished,30.03.2017 06:10:05,30.03.2017 06:11:51,Workflow,445763,4.0.3,MPAQSDEVDESK01,MPAQSSNSDEV03
10258,Open a folder on the treebrowser (click on symbol),finished,29.03.2017 23:15:47,29.03.2017 23:17:13,Document,445763,4.0.3,MPAQSEXECDESK02,MPAQSSNSDEV03
10259,Open a folder on the treebrowser (double click),finished,29.03.2017 23:14:15,29.03.2017 23:15:42,Document,445763,4.0.3,MPAQSEXECDESK02,MPAQSSNSDEV03
10260,Subprocess - two stops (2), subprocess different resource as main process,finished,30.03.2017 09:25:05,30.03.2017 09:27:25,Workflow,445763,4.0.3,MPAQSDEVDESK01,MPAQSSNSDEV03
10264,Start check - indicate previous process start (discharged),finished,30.03.2017 06:04:42,30.03.2017 06:06:23,Workflow,445763,4.0.3,MPAQSDEVDESK01,MPAQSSNSDEV03
10268,Process program - partner system (process selection first),finished,30.03.2017 08:37:10,30.03.2017 08:38:52,Workflow,445763,4.0.3,MPAQSDEVDESK01,MPAQSSNSDEV03
10277,Show the content of a document with a dictation,finished,29.03.2017 21:05:34,29.03.2017 21:06:55,Document,445763,4.0.3,MPAQSEXECDESK02,MPAQSSNSDEV03
10279,Symbols - process symbols (refresh after change, multiple clients),finished,30.03.2017 06:49:15,30.03.2017 06:53:43,Workflow,445763,4.0.3,MPAQSDEVDESK01,MPAQSSNSDEV03
10285,Process program - autostart process (patient not necessary),finished,30.03.2017 08:54:06,30.03.2017 08:55:53,Workflow,445763,4.0.3,MPAQSDEVDESK01,MPAQSSNSDEV03
10288,Subprocess - resource 'jeder',finished,30.03.2017 09:04:54,30.03.2017 09:06:37,Workflow,445763,4.0.3,MPAQSDEVDESK01,MPAQSSNSDEV03
10289,Subprocess - resource by script,finished,30.03.2017 09:20:43,30.03.2017 09:23:04,Workflow,445763,4.0.3,MPAQSDEVDESK01,MPAQSSNSDEV03
10291,Subprocess - multiple execution,finished,30.03.2017 08:38:56,30.03.2017 08:41:34,Workflow,445763,4.0.3,MPAQSDEVDESK01,MPAQSSNSDEV03
