module_Name,module_nrTestsStarted,module_startTimestamp,Patch,Release,Client,Server
Admitting doctor,22,02.04.2017 22:31:29,445879,4.0,MPAQSDEVDESK01,MPAQSSNSDEV02
Appointment,379,02.04.2017 22:38:04,445879,4.0,MPAQSDEVDESK02,MPAQSSNSDEV02
Basics,32,02.04.2017 22:40:15,445879,4.0,MPAQSEXECDESK02,MPAQSSNSDEV02
Bed management,128,02.04.2017 22:40:15,445879,4.0,MPAQSEXECDESK02,MPAQSSNSDEV02
Bed reservation,134,02.04.2017 22:40:15,445879,4.0,MPAQSEXECDESK02,MPAQSSNSDEV02
CDR,262,02.04.2017 22:32:57,445879,4.0,MPAQSEXECDESK01,MPAQSSNSDEV02
Customizing Tools,37,02.04.2017 22:38:04,445879,4.0,MPAQSDEVDESK02,MPAQSSNSDEV02
Customizing Transport,257,02.04.2017 22:32:57,445879,4.0,MPAQSEXECDESK01,MPAQSSNSDEV02
Diagnoses Procedure,436,02.04.2017 22:38:04,445879,4.0,MPAQSDEVDESK02,MPAQSSNSDEV02
Document,281,02.04.2017 22:31:29,445879,4.0,MPAQSDEVDESK01,MPAQSSNSDEV02
External System Integration,301,02.04.2017 22:31:29,445879,4.0,MPAQSDEVDESK01,MPAQSSNSDEV02
HL7,56,02.04.2017 22:38:04,445879,4.0,MPAQSDEVDESK02,MPAQSSNSDEV02
Label and Formular Printing,64,02.04.2017 22:38:04,445879,4.0,MPAQSDEVDESK02,MPAQSSNSDEV02
Menu ordering,166,02.04.2017 22:40:15,445879,4.0,MPAQSEXECDESK02,MPAQSSNSDEV02
Order,279,02.04.2017 22:40:15,445879,4.0,MPAQSEXECDESK02,MPAQSSNSDEV02
Patient Administration,305,02.04.2017 22:38:04,445879,4.0,MPAQSDEVDESK02,MPAQSSNSDEV02
Reporting,311,02.04.2017 22:31:29,445879,4.0,MPAQSDEVDESK01,MPAQSSNSDEV02
Services,222,02.04.2017 22:38:16,445879,4.0,MPAQSDEVDESK03,MPAQSSNSDEV02
Session Handling,123,02.04.2017 22:38:04,445879,4.0,MPAQSDEVDESK02,MPAQSSNSDEV02
Surgery Planning and Documentation,273,02.04.2017 22:38:16,445879,4.0,MPAQSDEVDESK03,MPAQSSNSDEV02
Workflow,411,02.04.2017 22:40:15,445879,4.0,MPAQSEXECDESK02,MPAQSSNSDEV02
Wound Management,211,02.04.2017 22:38:04,445879,4.0,MPAQSDEVDESK02,MPAQSSNSDEV02
