module_Name,module_nrTestsStarted,module_startTimestamp,Patch,Release,Client,Server
Admitting doctor,22,09.04.2017 01:09:00,446033,HEAD,MPAQSEXECDESK01,MPAQSSNSEXEC3
Basics,32,09.04.2017 01:24:46,446033,HEAD,MPAQSDEVDESK03,MPAQSSNSEXEC3
Bed management,128,09.04.2017 01:24:46,446033,HEAD,MPAQSDEVDESK03,MPAQSSNSEXEC3
Bed reservation,134,09.04.2017 01:24:46,446033,HEAD,MPAQSDEVDESK03,MPAQSSNSEXEC3
CDR,285,09.04.2017 01:14:09,446033,HEAD,MPAQSEXECDESK02,MPAQSSNSEXEC3
Customizing Tools,37,09.04.2017 01:14:57,446033,HEAD,MPAQSDEVDESK01,MPAQSSNSEXEC3
Customizing Transport,324,09.04.2017 01:14:09,446033,HEAD,MPAQSEXECDESK02,MPAQSSNSEXEC3
Document,281,09.04.2017 01:09:00,446033,HEAD,MPAQSEXECDESK01,MPAQSSNSEXEC3
External System Integration,301,09.04.2017 01:09:00,446033,HEAD,MPAQSEXECDESK01,MPAQSSNSEXEC3
HL7,55,09.04.2017 01:14:57,446033,HEAD,MPAQSDEVDESK01,MPAQSSNSEXEC3
Label and Formular Printing,64,09.04.2017 01:14:57,446033,HEAD,MPAQSDEVDESK01,MPAQSSNSEXEC3
Menu ordering,166,09.04.2017 01:24:46,446033,HEAD,MPAQSDEVDESK03,MPAQSSNSEXEC3
Order,279,09.04.2017 01:24:46,446033,HEAD,MPAQSDEVDESK03,MPAQSSNSEXEC3
Reporting,311,09.04.2017 01:09:00,446033,HEAD,MPAQSEXECDESK01,MPAQSSNSEXEC3
Services,222,09.04.2017 01:14:09,446033,HEAD,MPAQSEXECDESK02,MPAQSSNSEXEC3
Session Handling,123,09.04.2017 01:14:57,446033,HEAD,MPAQSDEVDESK01,MPAQSSNSEXEC3
Surgery Planning and Documentation,273,09.04.2017 01:14:09,446033,HEAD,MPAQSEXECDESK02,MPAQSSNSEXEC3
Workflow,409,09.04.2017 01:24:46,446033,HEAD,MPAQSDEVDESK03,MPAQSSNSEXEC3
Wound Management,213,09.04.2017 01:14:57,446033,HEAD,MPAQSDEVDESK01,MPAQSSNSEXEC3
