TestCaseID,testCase_Name,testCase_State,testCase_startTimestamp,$testCase_stopTimestamp,module_Name,mpa_Patch,mpa_Release,testEnv_Client,testEnv_Server
1,Progress Bar,finished,09.04.2017 11:24:18,09.04.2017 11:27:08,Session Handling,446033,HEAD,MPAQSDEVDESK01,MPAQSSNSEXEC3
10000,Create a new text module type,finished,09.04.2017 01:59:07,09.04.2017 01:59:41,Document,446033,HEAD,MPAQSEXECDESK01,MPAQSSNSEXEC3
10001,Create a new template type,finished,09.04.2017 02:03:43,09.04.2017 02:04:16,Document,446033,HEAD,MPAQSEXECDESK01,MPAQSSNSEXEC3
10003,Generating standard-view for a ward,finished,09.04.2017 02:56:05,09.04.2017 03:01:43,Bed management,446033,HEAD,MPAQSDEVDESK03,MPAQSSNSEXEC3
10005,Generating extension-view for a ward, which already has a standard-view,finished,09.04.2017 02:49:13,09.04.2017 02:55:59,Bed management,446033,HEAD,MPAQSDEVDESK03,MPAQSSNSEXEC3
10008,Dynamical generation of ward-views in bedmanagement-workarea,finished,09.04.2017 03:29:56,09.04.2017 03:34:46,Bed management,446033,HEAD,MPAQSDEVDESK03,MPAQSSNSEXEC3
10027,Edit a reservation,finished,09.04.2017 06:13:39,09.04.2017 06:15:14,Bed reservation,446033,HEAD,MPAQSDEVDESK03,MPAQSSNSEXEC3
10030,Edit a reservation and enter data to create a reservation which overlaps with another one,finished,09.04.2017 06:15:18,09.04.2017 06:17:04,Bed reservation,446033,HEAD,MPAQSDEVDESK03,MPAQSSNSEXEC3
10031,Edit a reservation and enter data to create a reservation, which overlaps with an existing stay,finished,09.04.2017 06:17:08,09.04.2017 06:18:14,Bed reservation,446033,HEAD,MPAQSDEVDESK03,MPAQSSNSEXEC3
10034,Delete a reservation,finished,09.04.2017 06:18:17,09.04.2017 06:19:15,Bed reservation,446033,HEAD,MPAQSDEVDESK03,MPAQSSNSEXEC3
10053,Create a new document type group,finished,09.04.2017 01:57:28,09.04.2017 01:58:15,Document,446033,HEAD,MPAQSEXECDESK01,MPAQSSNSEXEC3
10061,Create a new document subject,finished,09.04.2017 02:01:15,09.04.2017 02:01:36,Document,446033,HEAD,MPAQSEXECDESK01,MPAQSSNSEXEC3
10082,Back to todo list - new navigation bar,finished,09.04.2017 14:41:21,09.04.2017 14:42:39,Workflow,446033,HEAD,MPAQSDEVDESK03,MPAQSSNSEXEC3
10083,Back to previous workarea,finished,09.04.2017 14:43:33,09.04.2017 14:45:00,Workflow,446033,HEAD,MPAQSDEVDESK03,MPAQSSNSEXEC3
10084,Back to todo list and then back to previous workarea,finished,09.04.2017 14:45:05,09.04.2017 14:46:53,Workflow,446033,HEAD,MPAQSDEVDESK03,MPAQSSNSEXEC3
10127,Workflow Wizard - order requested (no predefinition of form),finished,09.04.2017 13:04:58,09.04.2017 13:06:05,Workflow,446033,HEAD,MPAQSDEVDESK03,MPAQSSNSEXEC3
10154,Ordering at process start - form selection,finished,09.04.2017 12:19:47,09.04.2017 12:21:07,Order,446033,HEAD,MPAQSDEVDESK03,MPAQSSNSEXEC3
10162,Ordering at process start - form selection and order,finished,09.04.2017 12:21:12,09.04.2017 12:22:41,Order,446033,HEAD,MPAQSDEVDESK03,MPAQSSNSEXEC3
10163,Ordering at process start - order without form selection,finished,09.04.2017 12:24:29,09.04.2017 12:25:43,Order,446033,HEAD,MPAQSDEVDESK03,MPAQSSNSEXEC3
10164,Ordering at process start - order standardized (default profile),finished,09.04.2017 12:40:12,09.04.2017 12:41:30,Order,446033,HEAD,MPAQSDEVDESK03,MPAQSSNSEXEC3
10165,Ordering at process start - order profile selection,finished,09.04.2017 12:25:46,09.04.2017 12:27:07,Order,446033,HEAD,MPAQSDEVDESK03,MPAQSSNSEXEC3
10166,Order propagation in workflow - main+subprocess,finished,09.04.2017 12:27:11,09.04.2017 12:28:47,Order,446033,HEAD,MPAQSDEVDESK03,MPAQSSNSEXEC3
10167,Order propagation in workflow - process programs,finished,09.04.2017 12:28:51,09.04.2017 12:31:13,Order,446033,HEAD,MPAQSDEVDESK03,MPAQSSNSEXEC3
10168,Order propagation in workflow - new process by CFT,finished,09.04.2017 12:43:06,09.04.2017 12:44:47,Order,446033,HEAD,MPAQSDEVDESK03,MPAQSSNSEXEC3
10178,Ordering at process start - form change in wizard,finished,09.04.2017 12:22:45,09.04.2017 12:24:24,Order,446033,HEAD,MPAQSDEVDESK03,MPAQSSNSEXEC3
10204,Delete an address catalog,finished,09.04.2017 02:02:42,09.04.2017 02:03:40,Document,446033,HEAD,MPAQSEXECDESK01,MPAQSSNSEXEC3
10211,Transfer patient into previous bed (create new transfer data),finished,09.04.2017 05:11:06,09.04.2017 05:13:09,Bed management,446033,HEAD,MPAQSDEVDESK03,MPAQSSNSEXEC3
10236,Priority - emergency,finished,09.04.2017 16:45:40,09.04.2017 16:48:22,Workflow,446033,HEAD,MPAQSDEVDESK03,MPAQSSNSEXEC3
10255,Start Workflow - no resource (workarea opening),finished,09.04.2017 13:07:11,09.04.2017 13:08:57,Workflow,446033,HEAD,MPAQSDEVDESK03,MPAQSSNSEXEC3
10258,Open a folder on the treebrowser (click on symbol),finished,09.04.2017 05:49:43,09.04.2017 05:51:01,Document,446033,HEAD,MPAQSEXECDESK01,MPAQSSNSEXEC3
10259,Open a folder on the treebrowser (double click),finished,09.04.2017 05:48:26,09.04.2017 05:49:40,Document,446033,HEAD,MPAQSEXECDESK01,MPAQSSNSEXEC3
10260,Subprocess - two stops (2), subprocess different resource as main process,finished,09.04.2017 16:24:34,09.04.2017 16:26:53,Workflow,446033,HEAD,MPAQSDEVDESK03,MPAQSSNSEXEC3
10264,Start check - indicate previous process start (discharged),finished,09.04.2017 13:01:51,09.04.2017 13:03:28,Workflow,446033,HEAD,MPAQSDEVDESK03,MPAQSSNSEXEC3
10268,Process program - partner system (process selection first),finished,09.04.2017 15:37:14,09.04.2017 15:38:56,Workflow,446033,HEAD,MPAQSDEVDESK03,MPAQSSNSEXEC3
